AREA_NAME,tree_density,lat,lon
University,1694.4153253171953,43.662506243664936,-79.40117981831793
Kensington-Chinatown,1361.2452054612004,43.653554193100106,-79.39723983081387
North St.James Town,1401.1992229948244,43.669621721636105,-79.37524685861742
Moss Park,1321.4954145398294,43.656528121637706,-79.36745408077326
Regent Park,1154.892435566406,43.659992152698166,-79.36050882728021
Cabbagetown-South St.James Town,2586.8904553608827,43.66764773072786,-79.36610664430573
South Riverdale,1401.0644044994658,43.64920020747761,-79.33561753103089
Blake-Jones,1893.3090948477657,43.67617291169731,-79.33739418824243
North Riverdale,2137.662352487529,43.671995197595315,-79.35126047739641
Playter Estates-Danforth,2162.037957677917,43.67970047439258,-79.35488726970624
Danforth,1804.09435578004,43.684025515759714,-79.32981928221362
Greenwood-Coxwell,1992.0416074895604,43.6726122969214,-79.3243180224837
